"drug_name","omop_cui","rxnorm_cui"
lamotrigine 50 MG Disintegrating Oral Tablet,705157,"252478"
lamotrigine 200 MG Disintegrating Oral Tablet,705158,"252479"
lamotrigine 25 MG Chewable Tablet,705160,"311264"
lamotrigine 5 MG Chewable Tablet,705161,"311265"
lamotrigine 2 MG Chewable Tablet [Lamictal],705191,"542426"
lamotrigine 150 MG Oral Tablet [Subvenite],964267,"2001506"
lamotrigine 25 MG Oral Tablet [Subvenite],964269,"2001508"
lamotrigine 100 MG Disintegrating Oral Tablet,19003128,"103968"
lamotrigine 100 MG Oral Tablet [Lamictal],19006207,"105018"
lamotrigine 25 MG Oral Tablet [Lamictal],19006208,"105019"
lamotrigine 200 MG Oral Tablet [Lamictal],19010433,"108782"
lamotrigine 25 MG Disintegrating Oral Tablet,19020051,"198430"
lamotrigine 5 MG Chewable Tablet [Lamictal],19024856,"201239"
lamotrigine 25 MG Chewable Tablet [Lamictal],19024857,"201240"
lamotrigine 150 MG Oral Tablet [Lamictal],19031625,"206201"
lamotrigine 25 MG Oral Tablet,19069199,"282401"
{35 (lamotrigine 25 MG Oral Tablet) } Pack,19128212,"751139"
{7 (lamotrigine 100 MG Oral Tablet) / 42 (lamotrigine 25 MG Oral Tablet) } Pack,19128229,"751563"
{14 (lamotrigine 100 MG Oral Tablet) / 84 (lamotrigine 25 MG Oral Tablet) } Pack,19128336,"753451"
{35 (lamotrigine 25 MG Oral Tablet [Lamictal]) } Pack [Lamictal Blue (For Patients Taking Valproate)],19130136,"795772"
"{7 (lamotrigine 100 MG Oral Tablet [Lamictal]) / 42 (lamotrigine 25 MG Oral Tablet [Lamictal]) } Pack [Lamictal Orange (For Patients Not Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Rifampin and Not Taking Valproate)]",19130137,"795774"
"{14 (lamotrigine 100 MG Oral Tablet [Lamictal]) / 84 (lamotrigine 25 MG Oral Tablet [Lamictal]) } Pack [Lamictal Green (For Patients Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Rifampin and Not Taking Valproate)]",19130140,"795778"
lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal],19135487,"849049"
lamotrigine 200 MG Disintegrating Oral Tablet [Lamictal],19135488,"849050"
lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal],19135489,"849051"
lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal],19135490,"849052"
"24 HR lamotrigine 100 MG Extended Release Oral Tablet",40160975,"850087"
"24 HR lamotrigine 50 MG Extended Release Oral Tablet",40160983,"850091"
{7 (lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Orange Patient Titration Kit (For Patients Not,40162183,"851751"
{7 (lamotrigine 100 MG Disintegrating Oral Tablet) / 14 (lamotrigine 25 MG Disintegrating Oral Tablet) / 14 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack,40162184,"851750"
{14 (lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal]) / 42 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Green Titration Kit (for Patients Taking Enzyme-Inducing Drugs and Not Taking Valproate)],40162194,"851753"
{14 (lamotrigine 100 MG Disintegrating Oral Tablet) / 42 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack,40162195,"851752"
{21 (lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal]) / 7 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Blue Patient Titration Kit (for Patients Taking Valproate)],40162263,"851749"
{21 (lamotrigine 25 MG Disintegrating Oral Tablet) / 7 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack,40162264,"851748"
"24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]",40171405,"900145"
"24 HR lamotrigine 200 MG Extended Release Oral Tablet",40171406,"900156"
"24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]",40171407,"900157"
"24 HR lamotrigine 25 MG Extended Release Oral Tablet",40171408,"900164"
"24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]",40171409,"900165"
"24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]",40171411,"900169"
{14 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Green Patient Titratio,40172829,"900866"
{21 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Blue Patient Titration Kit (for Patients Taking Valproate)],40172833,"900984"
{7 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Orange Patient Titratio,40172920,"900891"
"24 HR lamotrigine 300 MG Extended Release Oral Tablet",40237517,"1098608"
"24 HR lamotrigine 300 MG Extended Release Oral Tablet [Lamictal]",40237518,"1098610"
"24 HR lamotrigine 250 MG Extended Release Oral Tablet",40241527,"1146690"
"24 HR lamotrigine 250 MG Extended Release Oral Tablet [Lamictal]",40241528,"1146692"
lamotrigine 100 MG Oral Tablet [Subvenite],42543997,"2003796"
lamotrigine 200 MG Oral Tablet [Subvenite],42543999,"2003801"
"{14 (lamotrigine 100 MG Oral Tablet [Subvenite]) / 84 (lamotrigine 25 MG Oral Tablet [Subvenite]) } Pack [Subvenite Green (for Patients Taking Carbamazepine, Phenytoin, Phenobarbital, or Primidone and Not Taking Valproate)]",42544055,"2003797"
"{7 (lamotrigine 100 MG Oral Tablet [Subvenite]) / 42 (lamotrigine 25 MG Oral Tablet [Subvenite]) } Pack [Subvenite Orange (for Patients Not Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Valproate)]",42544056,"2003798"
{35 (lamotrigine 25 MG Oral Tablet [Subvenite]) } Pack [Subvenite Blue (for Patients Taking Valproate)],42544057,"2003799"
"2 ML Phenytoin sodium 50 MG/ML Injection",35602775,"1670351"
"5 ML Phenytoin sodium 50 MG/ML Injection",35602777,"1670353"
"2 ML Phenytoin sodium 50 MG/ML Cartridge",40162400,"855911"
Phenytoin sodium 100 MG Extended Release Oral Capsule,40163208,"855671"
Phenytoin sodium 100 MG Extended Release Oral Capsule [Dilantin],40163209,"855673"
Phenytoin sodium 200 MG Extended Release Oral Capsule,40163219,"855861"
Phenytoin sodium 200 MG Extended Release Oral Capsule [Phenytek],40163220,"855863"
Phenytoin sodium 30 MG Extended Release Oral Capsule [Dilantin],40163230,"855871"
Phenytoin sodium 300 MG Extended Release Oral Capsule,40163234,"855873"
Phenytoin sodium 300 MG Extended Release Oral Capsule [Phenytek],40163235,"855875"
Pentobarbital Sodium 390 MG/ML / Phenytoin sodium 50 MG/ML Injectable Solution,40238910,"1100449"
Pentobarbital Sodium 390 MG/ML / Phenytoin sodium 50 MG/ML Injectable Solution [Euthasol],40238911,"1100453"
Phenytoin 25 MG/ML Oral Suspension,42901674,"1313112"
Phenytoin 25 MG/ML Oral Suspension [Dilantin],42901704,"1313884"
Phenytoin 50 MG Chewable Tablet,42901705,"1313885"
Phenytoin 50 MG Chewable Tablet [Dilantin],42901706,"1313887"
Pentobarbital Sodium 390 MG/ML / Phenytoin sodium 50 MG/ML Injectable Solution [Somnasol],45776843,"1549832"
Pentobarbital Sodium 390 MG/ML / Phenytoin sodium 50 MG/ML Injectable Solution [Beuthanasia],46287643,"1666954"
Levetiracetam 250 MG Oral Tablet [Keppra],711585,"261335"
Levetiracetam 500 MG Oral Tablet [Keppra],711586,"261336"
Levetiracetam 750 MG Oral Tablet [Keppra],711587,"284391"
Levetiracetam 250 MG Oral Tablet,711588,"311288"
Levetiracetam 500 MG Oral Tablet,711589,"311289"
"5 ML Levetiracetam 100 MG/ML Injection",711620,"647121"
"5 ML Levetiracetam 100 MG/ML Injection [Keppra]",711621,"647123"
"24 HR Levetiracetam 750 MG Extended Release Oral Tablet",711644,"846378"
"24 HR Levetiracetam 750 MG Extended Release Oral Tablet [Keppra]",711645,"847673"
Levetiracetam 1000 MG Oral Tablet [Roweepra],1593314,"1875866"
Levetiracetam 750 MG Oral Tablet [Roweepra],1593318,"1875870"
"24 HR Levetiracetam 750 MG Extended Release Oral Tablet [Roweepra]",1593322,"1876012"
"24 HR Levetiracetam 500 MG Extended Release Oral Tablet [Roweepra]",1593324,"1876014"
Levetiracetam 750 MG Oral Tablet,19078781,"311290"
Levetiracetam 1000 MG Oral Tablet,19101553,"387003"
Levetiracetam 100 MG/ML Oral Solution,19102504,"403884"
Levetiracetam 100 MG/ML Oral Solution [Keppra],19102835,"404595"
Levetiracetam 1000 MG Oral Tablet [Keppra],19124116,"630807"
"24 HR Levetiracetam 500 MG Extended Release Oral Tablet",19132401,"807832"
"24 HR Levetiracetam 500 MG Extended Release Oral Tablet [Keppra]",19132402,"807834"
Levetiracetam 1000 MG Tablet for Oral Suspension [Spritam],35603683,"1736044"
Levetiracetam 250 MG Tablet for Oral Suspension [Spritam],35603686,"1736047"
Levetiracetam 500 MG Tablet for Oral Suspension [Spritam],35603689,"1736050"
Levetiracetam 750 MG Tablet for Oral Suspension [Spritam],35603692,"1736053"
Levetiracetam 500 MG Oral Tablet [Roweepra],35605422,"1731020"
"100 ML Levetiracetam 10 MG/ML Injection",40244398,"1193358"
"100 ML Levetiracetam 15 MG/ML Injection",40244400,"1193360"
"100 ML Levetiracetam 5 MG/ML Injection",40244402,"1193362"
"24 HR Levetiracetam 1000 MG Extended Release Oral Tablet",46221627,"1605362"
"24 HR Levetiracetam 1000 MG Extended Release Oral Tablet [Elepsia]",46221631,"1605368"
"24 HR Levetiracetam 1500 MG Extended Release Oral Tablet [Elepsia]",46221637,"1605374"
gabapentin 800 MG Oral Tablet [Neurontin],797414,"261281"
gabapentin 50 MG/ML Oral Solution,797415,"283523"
gabapentin 50 MG/ML Oral Solution [Neurontin],797437,"351973"
gabapentin 100 MG Oral Capsule [Neurontin],19006231,"105028"
gabapentin 300 MG Oral Capsule [Neurontin],19006232,"105029"
gabapentin 400 MG Oral Capsule [Neurontin],19006233,"105030"
gabapentin 600 MG Oral Tablet [Neurontin],19068334,"261280"
gabapentin 100 MG Oral Capsule,19077547,"310430"
gabapentin 300 MG Oral Capsule,19077548,"310431"
gabapentin 400 MG Oral Capsule,19077549,"310432"
gabapentin 600 MG Oral Tablet,19077550,"310433"
gabapentin 800 MG Oral Tablet,19077571,"310434"
gabapentin enacarbil 600 MG Extended Release Oral Tablet [Horizant],40239097,"1101339"
Once-Daily gabapentin 300 MG Oral Tablet [Gralise],40241279,"1115012"
Once-Daily gabapentin 600 MG Oral Tablet [Gralise],40241280,"1115013"
{9 (Once-Daily gabapentin 300 MG Oral Tablet [Gralise]) / 69 (Once-Daily gabapentin 600 MG Oral Tablet [Gralise]) } Pack [Gralise Starter Pack],40241452,"1115016"
gabapentin enacarbil 300 MG Extended Release Oral Tablet [Horizant],44785042,"1482821"
"5 ML Valproic Acid 100 MG/ML Injection",40237993,"1099648"
"5 ML Valproic Acid 100 MG/ML Injection [Depacon]",40237994,"1099650"
Valproic Acid 250 MG Oral Capsule,40238008,"1099681"
Valproic Acid 250 MG Oral Capsule [Depakene],40238009,"1099683"
Valproic Acid 50 MG/ML Oral Solution,40238017,"1099687"
Valproic Acid 50 MG/ML Oral Solution [Depakene],40238018,"1099689"
