"drug_name","omop_cui","rxnorm_cui"
Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Diovan HCT],19132620,"809030"
Hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet [Accuretic],19132832,"809854"
Hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet [Accuretic],19132834,"809858"
Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],19135223,"847042"
Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],19135231,"847055"
Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Benicar HCT],19135233,"847060"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,19135441,"848140"
Bisoprolol Fumarate 10 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162864,"854908"
Bisoprolol Fumarate 10 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],40162865,"854910"
Bisoprolol Fumarate 2.5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162871,"854916"
Bisoprolol Fumarate 2.5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],40162872,"854918"
Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40162875,"854919"
Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac],40162876,"854921"
Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 40 MG Oral Tablet,40163112,"856422"
Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 80 MG Oral Tablet,40163115,"856429"
Fosinopril Sodium 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,40163750,"857166"
Fosinopril Sodium 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,40163757,"857174"
Enalapril Maleate 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,40165757,"858828"
Enalapril Maleate 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Vaseretic],40165759,"858830"
Enalapril Maleate 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,40165785,"858824"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 100 MG Extended Release Oral Tablet",40166817,"866452"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 100 MG Extended Release Oral Tablet [Dutoprol]",40166818,"866455"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet",40166819,"866461"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet [Dutoprol]",40166820,"866464"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 50 MG Extended Release Oral Tablet",40166821,"866472"
"24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 50 MG Extended Release Oral Tablet [Dutoprol]",40166822,"866475"
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 100 MG Oral Tablet,40167087,"866479"
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 100 MG Oral Tablet [Lopressor HCT],40167088,"866498"
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 50 MG Oral Tablet,40167091,"866482"
Hydrochlorothiazide 25 MG / Metoprolol Tartrate 50 MG Oral Tablet [Lopressor HCT],40167092,"866502"
Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet,40167094,"866491"
Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet [Lopressor HCT],40167095,"866506"
Hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet [Accuretic],40168021,"882559"
Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,40171658,"898362"
Benazepril hydrochloride 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],40171659,"898366"
Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,40171665,"898367"
Benazepril hydrochloride 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],40171666,"898371"
Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet,40171668,"898372"
Benazepril hydrochloride 20 MG / Hydrochlorothiazide 25 MG Oral Tablet [Lotensin HCT],40171669,"898376"
Benazepril hydrochloride 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,40171679,"898378"
Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet,40177826,"977883"
Hydrochlorothiazide 12.5 MG / Losartan Potassium 100 MG Oral Tablet,40184184,"979464"
Hydrochlorothiazide 12.5 MG / Losartan Potassium 100 MG Oral Tablet [Hyzaar],40184185,"979466"
Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet,40184187,"979468"
Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet [Hyzaar],40184189,"979470"
Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet,40184217,"979471"
Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet [Hyzaar],40184246,"979473"
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224166,"999986"
Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],40224167,"999990"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224169,"999991"
Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],40224170,"999995"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,40224172,"999967"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Tribenzor],40224173,"999971"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224175,"999996"
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],40224176,"1000000"
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,40224178,"1000001"
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],40224179,"1000005"
aliskiren 150 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],40226379,"1011712"
aliskiren 150 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],40226382,"1011715"
aliskiren 300 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],40226398,"1011752"
aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],40226401,"1011755"
Hydrochlorothiazide 12.5 MG / Moexipril hydrochloride 15 MG Oral Tablet,42800842,"1299859"
Hydrochlorothiazide 12.5 MG / Moexipril hydrochloride 15 MG Oral Tablet [Uniretic],42800843,"1299861"
Hydrochlorothiazide 12.5 MG / Moexipril hydrochloride 7.5 MG Oral Tablet,42800845,"1299871"
Hydrochlorothiazide 25 MG / Moexipril hydrochloride 15 MG Oral Tablet,42800850,"1299890"
Hydrochlorothiazide 25 MG / Moexipril hydrochloride 15 MG Oral Tablet [Uniretic],42800851,"1299959"
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet,1314009,"197382"
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet,1395060,"197383"
Chlorthalidone 25 MG Oral Tablet,1395073,"197499"
Chlorthalidone 50 MG Oral Tablet,19018850,"197500"
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic],19127661,"746023"
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic],19127663,"746030"
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.1 MG Oral Tablet [Clorpres],40168695,"884196"
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.2 MG Oral Tablet [Clorpres],40168700,"884202"
Chlorthalidone 15 MG / Clonidine Hydrochloride 0.3 MG Oral Tablet [Clorpres],40168705,"884207"
azilsartan medoxomil 40 MG / Chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],42707640,"1235150"
azilsartan medoxomil 40 MG / Chlorthalidone 25 MG Oral Tablet [Edarbyclor],42707642,"1235157"
Methyclothiazide 5 MG Oral Tablet,905275,"197951"
