"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
"Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb",45542648,C83.54,ICD10CM
"Mycosis fungoides, lymph nodes of head, face, and neck",45542650,C84.01,ICD10CM
"Peripheral T-cell lymphoma, not classified, unspecified site",45542652,C84.40,ICD10CM
"Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb",45542653,C84.44,ICD10CM
"Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes",45542654,C84.46,ICD10CM
"Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites",45542655,C84.49,ICD10CM
"Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb",45542656,C84.95,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes",45542657,C84.A6,ICD10CM
"Unspecified B-cell lymphoma, extranodal and solid organ sites",45542658,C85.19,ICD10CM
Extramedullary plasmacytoma not having achieved remission,45542660,C90.20,ICD10CM
"Hairy cell leukemia, in remission",45542662,C91.41,ICD10CM
"Other lymphoid leukemia, in remission",45542664,C91.Z1,ICD10CM
"Other myeloid leukemia, in remission",45542665,C92.Z1,ICD10CM
"Monocytic leukemia, unspecified in relapse",45542666,C93.92,ICD10CM
Other specified leukemias not having achieved remission,45542668,C94.80,ICD10CM
Chronic leukemia of unspecified cell type not having achieved remission,45542669,C95.10,ICD10CM
"Malignant melanoma of left lower limb, including hip",45547490,C43.72,ICD10CM
Squamous cell carcinoma of skin of lip,45547492,C44.02,ICD10CM
"Unspecified malignant neoplasm of skin of eyelid, including canthus",45547493,C44.10,ICD10CM
"Squamous cell carcinoma of skin of eyelid, including canthus",45547494,C44.12,ICD10CM
"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",45547495,C44.121,ICD10CM
Other specified malignant neoplasm of skin of right ear and external auricular canal,45547496,C44.292,ICD10CM
Other specified malignant neoplasm of skin of other parts of face,45547497,C44.399,ICD10CM
Unspecified malignant neoplasm of anal skin,45547498,C44.500,ICD10CM
"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",45547499,C44.601,ICD10CM
"Basal cell carcinoma of skin of upper limb, including shoulder",45547500,C44.61,ICD10CM
"Squamous cell carcinoma of skin of upper limb, including shoulder",45547501,C44.62,ICD10CM
"Other specified malignant neoplasm of skin of left lower limb, including hip",45547502,C44.799,ICD10CM
Malignant neoplasm of upper-inner quadrant of right male breast,45547503,C50.221,ICD10CM
Malignant neoplasm of lower-outer quadrant of unspecified female breast,45547504,C50.519,ICD10CM
Malignant neoplasm of right epididymis,45547510,C63.01,ICD10CM
Malignant neoplasm of left epididymis,45547511,C63.02,ICD10CM
Malignant neoplasm of unspecified spermatic cord,45547513,C63.10,ICD10CM
Malignant neoplasm of left renal pelvis,45547514,C65.2,ICD10CM
Malignant neoplasm of unspecified lacrimal gland and duct,45547515,C69.50,ICD10CM
Malignant neoplasm of left olfactory nerve,45547517,C72.22,ICD10CM
Malignant neoplasm of other cranial nerves,45547518,C72.59,ICD10CM
Malignant neoplasm of right upper limb,45547521,C76.41,ICD10CM
Malignant carcinoid tumor of the duodenum,45547525,C7A.010,ICD10CM
Malignant carcinoid tumor of the ascending colon,45547526,C7A.022,ICD10CM
Malignant carcinoid tumor of the bronchus and lung,45547527,C7A.090,ICD10CM
"Malignant carcinoid tumor of the hindgut, unspecified",45547528,C7A.096,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",45547531,C81.34,ICD10CM
"Other Hodgkin lymphoma, spleen",45547533,C81.77,ICD10CM
"Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb",45547534,C82.25,ICD10CM
"Follicular lymphoma grade IIIa, intra-abdominal lymph nodes",45547535,C82.33,ICD10CM
"Diffuse follicle center lymphoma, intrapelvic lymph nodes",45547536,C82.56,ICD10CM
"Cutaneous follicle center lymphoma, unspecified site",45547537,C82.60,ICD10CM
"Other types of follicular lymphoma, unspecified site",45547538,C82.80,ICD10CM
"Mantle cell lymphoma, intrapelvic lymph nodes",45547539,C83.16,ICD10CM
"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",45547540,C83.36,ICD10CM
"Burkitt lymphoma, intrapelvic lymph nodes",45547541,C83.76,ICD10CM
"Mycosis fungoides, intra-abdominal lymph nodes",45547542,C84.03,ICD10CM
"Sezary disease, lymph nodes of multiple sites",45547543,C84.18,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, unspecified site",45547544,C84.70,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb",45547545,C84.74,ICD10CM
"Other mature T/NK-cell lymphomas, intrathoracic lymph nodes",45547546,C84.Z2,ICD10CM
"Unspecified B-cell lymphoma, lymph nodes of multiple sites",45547548,C85.18,ICD10CM
"Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",45547549,C85.92,ICD10CM
"Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45547550,C85.95,ICD10CM
Other malignant immunoproliferative diseases,45547551,C88.8,ICD10CM
"Lymphoid leukemia, unspecified, in remission",45547552,C91.91,ICD10CM
"Mature B-cell leukemia Burkitt-type, in relapse",45547553,C91.A2,ICD10CM
"Acute myeloblastic leukemia, not having achieved remission",45547554,C92.00,ICD10CM
"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",45547555,C92.12,ICD10CM
"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",45547556,C92.22,ICD10CM
"Acute promyelocytic leukemia, in remission",45547557,C92.41,ICD10CM
"Juvenile myelomonocytic leukemia, not having achieved remission",45547559,C93.30,ICD10CM
"Acute megakaryoblastic leukemia, in relapse",45547560,C94.22,ICD10CM
Malignant neoplasm of overlapping sites of other parts of mouth,45561783,C06.89,ICD10CM
"Malignant neoplasm of upper lobe, right bronchus or lung",45561794,C34.11,ICD10CM
Malignant neoplasm of short bones of unspecified lower limb,45561795,C40.30,ICD10CM
Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,45561796,C40.82,ICD10CM
"Malignant melanoma of unspecified eyelid, including canthus",45561797,C43.10,ICD10CM
Malignant melanoma of unspecified ear and external auricular canal,45561798,C43.20,ICD10CM
Malignant melanoma of other parts of face,45561799,C43.39,ICD10CM
Basal cell carcinoma of skin of nose,45561801,C44.311,ICD10CM
Basal cell carcinoma of skin of other part of trunk,45561802,C44.519,ICD10CM
"Other specified malignant neoplasm of skin of right upper limb, including shoulder",45561803,C44.692,ICD10CM
"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",45561804,C44.791,ICD10CM
"Malignant neoplasm of peripheral nerves of right lower limb, including hip",45561807,C47.21,ICD10CM
Merkel cell carcinoma of skin of breast,45561809,C4A.52,ICD10CM
"Merkel cell carcinoma of right upper limb, including shoulder",45561810,C4A.61,ICD10CM
Malignant neoplasm of upper-inner quadrant of right female breast,45561812,C50.211,ICD10CM
Malignant neoplasm of upper-inner quadrant of left female breast,45561813,C50.212,ICD10CM
Malignant neoplasm of upper-inner quadrant of unspecified male breast,45561814,C50.229,ICD10CM
Malignant neoplasm of lower-inner quadrant of right female breast,45561815,C50.311,ICD10CM
Malignant neoplasm of upper-outer quadrant of left female breast,45561817,C50.412,ICD10CM
Malignant neoplasm of upper-outer quadrant of right male breast,45561818,C50.421,ICD10CM
Malignant neoplasm of overlapping sites of left female breast,45561819,C50.812,ICD10CM
Malignant neoplasm of unspecified site of left male breast,45561820,C50.922,ICD10CM
Malignant neoplasm of right round ligament,45561821,C57.21,ICD10CM
Malignant neoplasm of right spermatic cord,45561822,C63.11,ICD10CM
Malignant neoplasm of left cornea,45561823,C69.12,ICD10CM
Malignant neoplasm of right ciliary body,45561824,C69.41,ICD10CM
Malignant neoplasm of right lacrimal gland and duct,45561825,C69.51,ICD10CM
Malignant neoplasm of overlapping sites of right eye and adnexa,45561826,C69.81,ICD10CM
Secondary malignant neoplasm of unspecified part of nervous system,45561833,C79.40,ICD10CM
Secondary malignant neoplasm of unspecified ovary,45561834,C79.60,ICD10CM
"Malignant neoplasm of lower lobe, unspecified bronchus or lung",45566582,C34.30,ICD10CM
Malignant melanoma of left ear and external auricular canal,45566584,C43.22,ICD10CM
Other specified malignant neoplasm of skin of scalp and neck,45566586,C44.49,ICD10CM
Squamous cell carcinoma of skin of trunk,45566587,C44.52,ICD10CM
Other specified malignant neoplasm of skin of breast,45566588,C44.591,ICD10CM
Unspecified malignant neoplasm of overlapping sites of skin,45566590,C44.80,ICD10CM
Malignant carcinoid tumor of the cecum,45561835,C7A.021,ICD10CM
"Malignant (primary) neoplasm, unspecified",45561836,C80.1,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",45561837,C81.03,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",45561838,C81.06,ICD10CM
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",45561839,C81.11,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45561840,C81.45,ICD10CM
"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",45561841,C81.71,ICD10CM
"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",45561842,C81.91,ICD10CM
"Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb",45561843,C82.15,ICD10CM
"Follicular lymphoma grade IIIa, unspecified site",45561844,C82.30,ICD10CM
"Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb",45561845,C82.85,ICD10CM
"Other types of follicular lymphoma, spleen",45561846,C82.87,ICD10CM
"Other types of follicular lymphoma, extranodal and solid organ sites",45561847,C82.89,ICD10CM
"Follicular lymphoma, unspecified, spleen",45561848,C82.97,ICD10CM
"Follicular lymphoma, unspecified, extranodal and solid organ sites",45561849,C82.99,ICD10CM
"Small cell B-cell lymphoma, lymph nodes of head, face, and neck",45561850,C83.01,ICD10CM
"Diffuse large B-cell lymphoma, unspecified site",45561851,C83.30,ICD10CM
"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",45561852,C83.31,ICD10CM
"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",45561853,C83.34,ICD10CM
"Burkitt lymphoma, lymph nodes of multiple sites",45561854,C83.78,ICD10CM
"Other non-follicular lymphoma, intra-abdominal lymph nodes",45561855,C83.83,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites",45561856,C83.98,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes",45561859,C84.66,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites",45561860,C84.A9,ICD10CM
"Malignant neoplasm of lower lobe, left bronchus or lung",45556973,C34.32,ICD10CM
Unspecified malignant neoplasm of skin of ear and external auricular canal,45556977,C44.20,ICD10CM
Unspecified malignant neoplasm of skin of right ear and external auricular canal,45556978,C44.202,ICD10CM
Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,45556979,C44.291,ICD10CM
Unspecified malignant neoplasm of skin of other and unspecified parts of face,45556980,C44.30,ICD10CM
Unspecified malignant neoplasm of skin of other part of trunk,45556981,C44.509,ICD10CM
"Squamous cell carcinoma of skin of left upper limb, including shoulder",45556982,C44.629,ICD10CM
Kaposi's sarcoma of gastrointestinal sites,45566592,C46.4,ICD10CM
Kaposi's sarcoma of right lung,45566593,C46.51,ICD10CM
"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",45566594,C47.12,ICD10CM
"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",45566595,C47.20,ICD10CM
"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",45566596,C49.12,ICD10CM
"Merkel cell carcinoma of left upper limb, including shoulder",45566597,C4A.62,ICD10CM
"Malignant neoplasm of nipple and areola, right female breast",45566599,C50.011,ICD10CM
"Malignant neoplasm of nipple and areola, right male breast",45566600,C50.021,ICD10CM
Malignant neoplasm of lower-inner quadrant of unspecified female breast,45566602,C50.319,ICD10CM
Malignant neoplasm of overlapping sites of left male breast,45566603,C50.822,ICD10CM
Malignant neoplasm of right fallopian tube,45566607,C57.01,ICD10CM
"Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck",45561861,C84.Z1,ICD10CM
"Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes",45561862,C84.Z3,ICD10CM
"Other mature T/NK-cell lymphomas, extranodal and solid organ sites",45561863,C84.Z9,ICD10CM
